Airtables :
    Airtable :
      Name: airtable_1   ; 
      TableOfLiftCoefficients :
         NumberOfTerms :          2 ,        135 ;
           21    -0.01238098479999999    -0.01238098479999999 
           22    -0.01293183369999998    -0.01293183369999998 
           23    -0.01348268259999999    -0.01348268259999999 
           24    -0.0140160442333333    -0.0140160442333333 
           25    -0.01454940586666664    -0.01454940586666664 
           26    -0.01507402386666665    -0.01507402386666665 
           27    -0.01558972336066666    -0.01558972336066666 
           28    -0.01609702896666665    -0.01609702896666665 
           29    -0.01659550350299999    -0.01659550350299999 
           30    -0.01708505953333334    -0.01708505953333334 
           31    -0.01756578449399998    -0.01756578449399998 
           32    -0.01803811556666665    -0.01803811556666665 
           33    -0.01850266480566665    -0.01850266480566665 
           34    -0.01895995682899998    -0.01895995682899998 
           35    -0.01941086599999997    -0.01941086599999997 
           36    -0.01985582950033329    -0.01985582950033329 
           37    -0.020295109639    -0.020295109639 
           38    -0.02072870641599997    -0.02072870641599997 
           39    -0.02115670726766666    -0.02115670726766666 
           40    -0.02157928706666665    -0.02157928706666665 
           41    -0.02199653324933332    -0.02199653324933332 
           42    -0.02240862068833332    -0.02240862068833332 
           43    -0.02281581169266664    -0.02281581169266664 
           44    -0.02321836857133333    -0.02321836857133333 
